Quality Metrics for "2021-07-23 13-40-47.mp4":

Detected frame errors:
Frame 1471 occurred 3 times.
Frame 1472 occurred 1 times.
Frame 1483 occurred 3 times.
Frame 1484 occurred 1 times.
Frame 1507 occurred 3 times.
Frame 1508 occurred 1 times.
Frame 1567 occurred 3 times.
Frame 1568 occurred 1 times.
Frame 1570 occurred 3 times.
Frame 1571 occurred 1 times.
Frame 1573 occurred 3 times.
Frame 1574 occurred 1 times.
Frame 1576 occurred 3 times.
Frame 1577 occurred 1 times.
Frame 1579 occurred 3 times.
Frame 1580 occurred 1 times.
Frame 1591 occurred 3 times.
Frame 1592 occurred 1 times.
Frame 1627 occurred 3 times.
Frame 1628 occurred 1 times.
Frame 1639 occurred 3 times.
Frame 1640 occurred 1 times.
Frame 1651 occurred 3 times.
Frame 1652 occurred 1 times.
Frame 1663 occurred 3 times.
Frame 1664 occurred 1 times.
Frame 1699 occurred 3 times.
Frame 1700 occurred 1 times.
Frame 1711 occurred 3 times.
Frame 1712 occurred 1 times.
Frame 1747 occurred 3 times.
Frame 1748 occurred 1 times.
Frame 1759 occurred 3 times.
Frame 1760 occurred 1 times.
Frame 1762 occurred 3 times.
Frame 1763 occurred 1 times.
Frame 1765 occurred 3 times.
Frame 1766 occurred 1 times.
Frame 1768 occurred 3 times.
Frame 1769 occurred 1 times.
Frame 1771 occurred 3 times.
Frame 1772 occurred 1 times.
Frame 1807 occurred 3 times.
Frame 1808 occurred 1 times.
Frame 1819 occurred 3 times.
Frame 1820 occurred 1 times.
Frame 1825 occurred 3 times.
Frame 1826 occurred 1 times.
Frame 1831 occurred 3 times.
Frame 1833 occurred 1 times.
Frame 1838 occurred 3 times.
Frame 1839 occurred 1 times.
Frame 1841 occurred 3 times.
Frame 1842 occurred 1 times.
Frame 1855 occurred 3 times.
Frame 1856 occurred 1 times.
Frame 1866 occurred 3 times.
Frame 1868 occurred 1 times.
Frame 1904 occurred 3 times.
Frame 1905 occurred 1 times.
Frame 1915 occurred 3 times.
Frame 1916 occurred 1 times.
Frame 1917 occurred 3 times.
Frame 1918 occurred 1 times.
Frame 1927 occurred 3 times.
Frame 1928 occurred 1 times.
Frame 1933 occurred 3 times.
Frame 1934 occurred 1 times.
Frame 1936 occurred 3 times.
Frame 1937 occurred 1 times.
Frame 1939 occurred 3 times.
Frame 1940 occurred 1 times.
Frame 1987 occurred 3 times.
Frame 1988 occurred 1 times.
Frame 1992 occurred 3 times.
Frame 1993 occurred 1 times.
Frame 1999 occurred 3 times.
Frame 2000 occurred 1 times.
Frame 2009 occurred 3 times.
Frame 2010 occurred 1 times.
Frame 2011 occurred 3 times.
Frame 2012 occurred 1 times.
Frame 2023 occurred 3 times.
Frame 2024 occurred 1 times.
Frame 2026 occurred 3 times.
Frame 2027 occurred 1 times.
Frame 2029 occurred 3 times.
Frame 2030 occurred 1 times.
Frame 2032 occurred 3 times.
Frame 2033 occurred 1 times.
Frame 2035 occurred 3 times.
Frame 2036 occurred 1 times.
Frame 2047 occurred 3 times.
Frame 2048 occurred 1 times.
Frame 2071 occurred 3 times.
Frame 2072 occurred 1 times.
Frame 2083 occurred 3 times.
Frame 2084 occurred 1 times.
Frame 2104 occurred 3 times.
Frame 2105 occurred 1 times.
Frame 2107 occurred 3 times.
Frame 2108 occurred 1 times.
Frame 2122 occurred 3 times.
Frame 2123 occurred 1 times.
Frame 2227 occurred 3 times.
Frame 2228 occurred 1 times.
Frame 2231 occurred 3 times.
Frame 2232 occurred 1 times.
Frame 2239 occurred 3 times.
Frame 2240 occurred 1 times.
Frame 2273 occurred 3 times.
Frame 2274 occurred 1 times.
Frame 2287 occurred 3 times.
Frame 2288 occurred 1 times.
Frame 2299 occurred 3 times.
Frame 2300 occurred 1 times.
Frame 2311 occurred 3 times.
Frame 2312 occurred 1 times.
Frame 2323 occurred 3 times.
Frame 2324 occurred 1 times.
Frame 2335 occurred 3 times.
Frame 2336 occurred 1 times.
Frame 2347 occurred 3 times.
Frame 2348 occurred 1 times.
Frame 2359 occurred 3 times.
Frame 2360 occurred 1 times.
Frame 2372 occurred 3 times.
Frame 2373 occurred 1 times.
Frame 2407 occurred 3 times.
Frame 2408 occurred 1 times.
Frame 2419 occurred 3 times.
Frame 2420 occurred 1 times.
Frame 2455 occurred 3 times.
Frame 2456 occurred 1 times.
Frame 2467 occurred 3 times.
Frame 2468 occurred 1 times.
Frame 2520 occurred 3 times.
Frame 2521 occurred 1 times.
Frame 2527 occurred 3 times.
Frame 2528 occurred 1 times.
Frame 2531 occurred 3 times.
Frame 2533 occurred 1 times.
Frame 2539 occurred 3 times.
Frame 2540 occurred 1 times.
Frame 2551 occurred 3 times.
Frame 2552 occurred 1 times.
Frame 2563 occurred 3 times.
Frame 2564 occurred 1 times.
Frame 2575 occurred 3 times.
Frame 2576 occurred 1 times.
Frame 2582 occurred 3 times.
Frame 2583 occurred 1 times.
Frame 2599 occurred 3 times.
Frame 2600 occurred 1 times.
Frame 2620 occurred 3 times.
Frame 2621 occurred 1 times.
Frame 2623 occurred 3 times.
Frame 2624 occurred 1 times.
Frame 2626 occurred 3 times.
Frame 2627 occurred 1 times.
Frame 2647 occurred 3 times.
Frame 2648 occurred 1 times.
Frame 2659 occurred 3 times.
Frame 2660 occurred 1 times.
Frame 2671 occurred 3 times.
Frame 2672 occurred 1 times.
Frame 2683 occurred 3 times.
Frame 2684 occurred 1 times.
Frame 2707 occurred 3 times.
Frame 2708 occurred 1 times.
Frame 2719 occurred 3 times.
Frame 2720 occurred 1 times.
Frame 2731 occurred 3 times.
Frame 2732 occurred 1 times.
Frame 2743 occurred 3 times.
Frame 2744 occurred 1 times.
Frame 2746 occurred 3 times.
Frame 2747 occurred 1 times.
Frame 2749 occurred 3 times.
Frame 2750 occurred 1 times.
Frame 2752 occurred 3 times.
Frame 2753 occurred 1 times.
Frame 2767 occurred 3 times.
Frame 2768 occurred 1 times.
Frame 2779 occurred 3 times.
Frame 2780 occurred 1 times.
Frame 2791 occurred 3 times.
Frame 2792 occurred 1 times.
Frame 2803 occurred 3 times.
Frame 2804 occurred 1 times.
Frame 2815 occurred 3 times.
Frame 2816 occurred 1 times.
Frame 2877 occurred 3 times.
Frame 2878 occurred 1 times.
Frame 2887 occurred 3 times.
Frame 2888 occurred 1 times.
Frame 2899 occurred 3 times.
Frame 2900 occurred 1 times.
Frame 2911 occurred 3 times.
Frame 2912 occurred 1 times.
Frame 2923 occurred 3 times.
Frame 2924 occurred 1 times.
Frame 2935 occurred 3 times.
Frame 2936 occurred 1 times.
Frame 2959 occurred 3 times.
Frame 2960 occurred 1 times.
Frame 2965 occurred 3 times.
Frame 2966 occurred 1 times.
Frame 2968 occurred 3 times.
Frame 2969 occurred 1 times.
Frame 2971 occurred 3 times.
Frame 2972 occurred 1 times.
Frame 2982 occurred 3 times.
Frame 2983 occurred 1 times.
Frame 3007 occurred 3 times.
Frame 3008 occurred 1 times.
Frame 3019 occurred 3 times.
Frame 3020 occurred 1 times.
Frame 3091 occurred 3 times.
Frame 3092 occurred 1 times.
Frame 3115 occurred 3 times.
Frame 3116 occurred 1 times.
